# The index has the following fields:
#
#   ID: A unique id of the form 01234.567 that identifies a model 
#       01234 is unique for each combination of (Protein, Species), and 567 is unique 
#       for each combination of (Experiment, Experiment Details, Model ID),
#       In other words, 01234 identifies the protein 'version', whereas 567 identifies 
#       the model 'version' for that protein version.
#   Protein: The protein name, e.g. RBFOX1.
#   Type: Indicates whether the protein is considered an RBP, a TF, etc.
#   Species: The species name, e.g. Homo sapiens.
#   Family: The protein family, e.g. Homeodomain.
#   Class: The protein structural class, e.g. Zinc-coordinating.
#   Experiment: The technology used to measure the training data, e.g. ChIP-seq, HT-SELEX.
#   Experiment Details: A list of strings that describe how the experiment was configured,
#                       e.g. ["Cell Line=K562","Lab=Stanford"]
#   Model ID: A number/string that can be used to identify this model as distinct from 
#             other models for the same (Protein, Species, Experiment, Experiment Details),
#             e.g. if a new, better model was trained and therefore needs a new version ID.
#   Comments: 
#
#
ID	Protein	Type	Species	Family	Class	Experiment	Experiment Details	Model	Cite	Labels	Path	Comment
D00001.001	Cebpb	TF	Mus musculus	bZIP		PBM	['DREAM5ID=C_1', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_1	
D00002.001	Egr2	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=C_2', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_2	
D00003.001	Esr1	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=C_3', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_3	
D00004.001	Foxj2	TF	Mus musculus	Forkhead		PBM	['DREAM5ID=C_4', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_4	
D00005.001	Foxo1	TF	Mus musculus	Forkhead		PBM	['DREAM5ID=C_5', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_5	
D00006.001	Foxo3	TF	Mus musculus	Forkhead		PBM	['DREAM5ID=C_6', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_6	
D00007.001	Foxo4	TF	Mus musculus	Forkhead		PBM	['DREAM5ID=C_7', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_7	
D00008.001	Foxp1	TF	Mus musculus	Forkhead		PBM	['DREAM5ID=C_8', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_8	
D00009.001	Foxp2	TF	Mus musculus	Forkhead		PBM	['DREAM5ID=C_9', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_9	
D00010.001	Gmeb2	TF	Mus musculus	SAND		PBM	['DREAM5ID=C_10', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_10	
D00011.001	Irf2	TF	Mus musculus	IRF		PBM	['DREAM5ID=C_11', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_11	
D00012.001	Junb	TF	Mus musculus	bZIP		PBM	['DREAM5ID=C_12', 'Array=HK']	deepbind 0.1	PMID 23354101	deprecated	E:/Results/deepbind/dream5/final/C_12	Deprecated because it only seems to have learned the probe tag, not a Jun-specific motif.
D00013.001	Mecp2	TF	Mus musculus	MBD		PBM	['DREAM5ID=C_13', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_13	
D00014.001	Nr2c1	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=C_14', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_14	
D00015.001	Pou3f1	TF	Mus musculus	Homeodomain,POU		PBM	['DREAM5ID=C_15', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_15	
D00016.001	Sox14	TF	Mus musculus	Sox		PBM	['DREAM5ID=C_16', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_16	
D00017.001	Sp1	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=C_17', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_17	
D00018.001	Tbx3	TF	Mus musculus	T-box		PBM	['DREAM5ID=C_18', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_18	
D00019.001	Tcf3	TF	Mus musculus	bHLH		PBM	['DREAM5ID=C_19', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_19	
D00020.001	Zscan20	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=C_20', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/C_20	
D00021.001	Ar	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_1', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_1	
D00022.001	Dbp	TF	Mus musculus	bZIP		PBM	['DREAM5ID=TF_2', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_2	
D00023.001	Foxo6	TF	Mus musculus	Forkhead		PBM	['DREAM5ID=TF_3', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_3	
D00024.001	Klf12	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_4', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_4	
D00025.001	Klf8	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_5', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_5	
D00026.001	Klf9	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_6', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_6	
D00027.001	Mlx	TF	Mus musculus	bHLH		PBM	['DREAM5ID=TF_7', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_7	
D00028.001	Mzf1	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_8', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_8	
D00028.002	Mzf1	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_9', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_9	
D00029.001	Nfil3	TF	Mus musculus	bZIP		PBM	['DREAM5ID=TF_10', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_10	
D00030.001	Nr2f6	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_11', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_11	
D00031.001	Nr4a2	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_12', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_12	
D00032.001	Oct1	TF	Mus musculus			PBM	['DREAM5ID=TF_13', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_13	
D00033.001	P42pop	TF	Mus musculus			PBM	['DREAM5ID=TF_14', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_14	
D00034.001	Pit1	TF	Mus musculus	Homeodomain,POU		PBM	['DREAM5ID=TF_15', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_15	
D00035.001	Prdm11	TF	Mus musculus	Myb/SANT		PBM	['DREAM5ID=TF_16', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_16	
D00036.001	Rorb	TF	Mus musculus	Nuclear receptor		PBM	['DREAM5ID=TF_17', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_17	
D00037.001	Sox10	TF	Mus musculus	Sox		PBM	['DREAM5ID=TF_18', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_18	
D00038.001	Sox3	TF	Mus musculus	Sox		PBM	['DREAM5ID=TF_19', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_19	
D00039.001	Sox6	TF	Mus musculus	Sox		PBM	['DREAM5ID=TF_20', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_20	
D00040.001	Srebf1	TF	Mus musculus	bHLH		PBM	['DREAM5ID=TF_21', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_21	
D00041.001	Tbx2	TF	Mus musculus	T-box		PBM	['DREAM5ID=TF_22', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_22	
D00042.001	Tbx20	TF	Mus musculus	T-box		PBM	['DREAM5ID=TF_23', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_23	
D00043.001	Tbx4	TF	Mus musculus	T-box		PBM	['DREAM5ID=TF_24', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_24	
D00044.001	Tbx5	TF	Mus musculus	T-box		PBM	['DREAM5ID=TF_25', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_25	
D00045.001	Tfec	TF	Mus musculus			PBM	['DREAM5ID=TF_26', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_26	
D00046.001	Xbp1	TF	Mus musculus	bZIP		PBM	['DREAM5ID=TF_27', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_27	
D00047.001	Zfp202	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_28', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_28	
D00048.001	Zfp263	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_29', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_29	
D00049.001	Zfp3	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_30', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_30	
D00050.001	Zfx	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_31', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_31	
D00051.001	Zkscan1	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_32', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_32	
D00052.001	Zscan10	TF	Mus musculus	C2H2 ZF		PBM	['DREAM5ID=TF_33', 'Array=HK']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_33	
D00053.001	Ahctf1	TF	Mus musculus	AT hook		PBM	['DREAM5ID=TF_34', 'Array=ME']	deepbind 0.1	PMID 23354101		E:/Results/deepbind/dream5/final/TF_34	
